id,restaurante,bairro,prato,categoria,preco,data,cliente_id
1,Sabor da Terra,Dom Pedro,Escondidinho,Bebida,60.36,2025-02-16,4371
2,Bom Prato,Centro,Escondidinho,Jantar,45.36,2025-05-08,8767
3,Bom Prato,Cidade Nova,Escondidinho,Jantar,32.65,2025-01-16,1859
4,Villa do Sabor,Compensa,X-Tudo,Lanche,55.94,2025-06-25,1622
5,Lalbero,Vieiralves,Moqueca,Lanche,55.85,2025-05-21,9005
6,Nájua,Vieiralves,Feijoada,Lanche,50.92,2025-03-13,2182
7,Sabor da Terra,Centro,Tacacá,Bebida,33.86,2025-05-15,8290
8,Nájua,São Jorge,Picanha,Lanche,28.89,2025-04-10,7856
9,Javari,Adrianópolis,Pizza,Almoço,32.54,2025-05-27,4899
10,Lalbero,Dom Pedro,Pizza,Lanche,69.06,2025-05-28,3851
11,Villa do Sabor,Vieiralves,X-Tudo,Jantar,65.55,2025-05-22,9401
12,Ponto do Chef,São Jorge,Picanha,Lanche,17.93,2025-06-30,1200
13,Sabor da Terra,Dom Pedro,Feijoada,Lanche,53.99,2025-02-15,2424
14,Nájua,Compensa,Filé ao molho,Jantar,50.12,2025-03-16,4975
15,Sabor a Mi,Adrianópolis,Feijoada,Bebida,16.28,2025-05-09,3774
16,Nájua,Vieiralves,X-Tudo,Bebida,63.6,2025-04-16,4425
17,Ponto do Chef,Dom Pedro,Frango grelhado,Bebida,17.25,2025-03-22,5554
18,Javari,Cidade Nova,Escondidinho,Lanche,35.32,2025-01-05,4231
19,Nájua,Cidade Nova,Escondidinho,Bebida,59.71,2025-04-10,8189
20,La Parrilla,São Jorge,Lasanha,Lanche,33.94,2025-04-25,6997
21,Nájua,São Jorge,Filé ao molho,Sobremesa,52.17,2025-05-11,4252
22,Javari,Compensa,Feijoada,Sobremesa,37.26,2025-02-11,3006
23,Bom Prato,Compensa,Frango grelhado,Bebida,16.06,2025-06-07,4244
24,Alentejo,Adrianópolis,X-Tudo,Bebida,55.74,2025-02-10,8059
25,Javari,Vieiralves,Tacacá,Sobremesa,35.48,2025-03-08,2388
26,Lalbero,Compensa,Picanha,Almoço,56.69,2025-05-11,2072
27,Villa do Sabor,Flores,Filé ao molho,Bebida,36.47,2025-04-25,8911
28,Javari,Dom Pedro,Picanha,Jantar,15.74,2025-05-16,5191
29,Sabor a Mi,Centro,Moqueca,Sobremesa,55.94,2025-06-22,3178
